width,serial_time,parallel_time
844,0.542539,0.428267
845,0.543050,0.428309
846,0.543475,0.429199
847,0.543727,0.429384
848,0.544786,0.429973
849,0.545862,0.430318
850,0.546206,0.430902
851,0.546993,0.431629
852,0.547592,0.432351
853,0.548669,0.432569
854,0.548986,0.433245
855,0.549162,0.434114
856,0.550119,0.434391
857,0.551330,0.434793
858,0.551953,0.435497
859,0.551809,0.436397
860,0.553807,0.436669
861,0.553280,0.436730
862,0.554092,0.437153
863,0.554519,0.437165
864,0.554625,0.438132
865,0.555007,0.438632
866,0.556575,0.439700
867,0.557028,0.440872
868,0.558495,0.440886
869,0.559255,0.441275
870,0.559168,0.442249
871,0.560193,0.442246
872,0.560972,0.442713
873,0.561094,0.443146
874,0.561267,0.443327
875,0.562331,0.443772
876,0.562466,0.444361
877,0.563284,0.444825
878,0.564229,0.445435
879,0.565003,0.446123
880,0.565273,0.446126
881,0.566189,0.446751
882,0.565930,0.447366
883,0.566915,0.448038
884,0.568451,0.448387
885,0.568911,0.449103
886,0.570122,0.449336
887,0.570389,0.449893
888,0.570587,0.450691
889,0.571118,0.450974
890,0.572299,0.451649
891,0.573342,0.452287
892,0.573421,0.452455
893,0.573768,0.452907
894,0.574477,0.453550
895,0.574781,0.454100
896,0.575514,0.454262
897,0.575952,0.454922
898,0.576940,0.455695
899,0.577293,0.456167
900,0.579244,0.456797
901,0.578835,0.457315
902,0.579885,0.457188
903,0.581242,0.458019
904,0.581581,0.459341
905,0.582496,0.459142
906,0.582352,0.459929
907,0.582579,0.460143
908,0.583721,0.460604
909,0.584058,0.461000
910,0.585684,0.461484
911,0.585759,0.462184
912,0.586623,0.462415
913,0.587193,0.463121
914,0.587184,0.463979
915,0.587681,0.464258
916,0.588712,0.464779
917,0.588780,0.465503
918,0.589575,0.465854
919,0.590732,0.466326
920,0.591582,0.466578
921,0.592526,0.467532
922,0.592237,0.467681
923,0.593672,0.468294
924,0.594876,0.469080
925,0.594379,0.469203
926,0.594566,0.469714
927,0.595750,0.470114
928,0.595551,0.471081
929,0.597255,0.471315
930,0.597941,0.471718
931,0.597969,0.472792
932,0.599663,0.472688
933,0.599367,0.473158
934,0.600365,0.473731
935,0.600603,0.474740
936,0.601647,0.474734
937,0.602289,0.475415
938,0.602894,0.476072
939,0.604683,0.476814
940,0.604298,0.476733
941,0.605255,0.477241
942,0.605256,0.477982
943,0.606567,0.478579
944,0.606939,0.478506
945,0.608179,0.479371
946,0.608061,0.479968
947,0.608691,0.480725
948,0.609484,0.480992
949,0.613186,0.482906
950,0.611568,0.482835
951,0.612887,0.482824
952,0.613171,0.483106
953,0.612204,0.483987
954,0.613680,0.484144
955,0.614486,0.484819
956,0.614076,0.485293
957,0.614872,0.485756
958,0.615927,0.486138
959,0.617200,0.486498
960,0.616610,0.487180
961,0.617192,0.487791
962,0.619246,0.488060
963,0.618851,0.488916
964,0.619526,0.489418
965,0.621136,0.489781
966,0.620975,0.490364
967,0.621868,0.490784
968,0.622232,0.491587
969,0.622976,0.491826
970,0.624076,0.492466
971,0.624371,0.492767
972,0.624411,0.493476
973,0.625431,0.493652
974,0.627165,0.494157
975,0.626599,0.494645
976,0.627465,0.495502
977,0.628627,0.495593
978,0.629043,0.496238
979,0.630157,0.497094
980,0.629965,0.497732
981,0.630294,0.497615
982,0.631708,0.498215
983,0.632499,0.498974
984,0.633114,0.499784
985,0.633055,0.499727
986,0.634601,0.500559
987,0.634957,0.500986
988,0.635114,0.501448
989,0.635675,0.501719
990,0.637307,0.502471
991,0.636723,0.502929
992,0.637600,0.503659
993,0.638014,0.503773
994,0.639165,0.504420
995,0.640244,0.505296
996,0.640770,0.505721
997,0.640940,0.506007
998,0.641845,0.506465
999,0.642378,0.507448
1000,0.643500,0.508455
1001,0.643519,0.508641
1002,0.644565,0.509416
1003,0.646710,0.508972
